lfdn,l1,l2,l3,l4,l5,l6,l7,r1,r2,r3,r4,r5,r6,r7
1,neutral,keine,keine,genervt,keine,verwirrung,keine,aufgebracht ärger,provoziert,keine,keine,verwirrung,ärger,keine
2,wut mitleid,verwirrung ablehnung,mitleid abneigung vorsicht,langeweile,bedenken furcht abneigung,bedenken sorge,zustimmung,ekel abneigung,unverständnis abneigung,belustigt unverständnis,bedenken zustimmung,sorge,wut sorge,bedenken sorge
3,wut empörung,zustimmung,genervt unstimmig trauer,bestärkt berumpelt,zustimmung wut unfassbarkeit  stolz,ärger wut zustimmung verwirrung,zustimmung  neutral,wut kopfschütteln,kopfschütteln wut unfassbarkeit,wut unfassbarkeit zorn ,wut ärger,wut trauer,trauer wut,genervt
4,wut entsetzen überraschung,ergriffen,trauer mitleid,ärger,keine,wertschätzung,genervt,wut mitleid,ekel,wut amüsiertheit,genervt,wut ekel,wut,ärger
5,unglaube empörung,zustimmung stolz freude trauer wut,furcht zorn,ärger zorn,zustimmung freude stolz zorn wut ärger,neutral,neutral,wut zorn ärger,verachtung geringschätzung,unglaube ärger zorn,neutral,ärger wut,wut ärger,ärger
6,neutral eingeschüchtert wut,unverständnis neutral,ermüdung herabschauend,hoffnung verzweiflung,neutral,neutral,neutral,wut empörtheit,wut,herabschauen kopfschütteln,genervt,genervt,ambivalenz,genervt
7,angst bedrohung panik,keine,mitleid,keine,bedrohung,keine,keine,abscheu trauer,belustigt,genervt,genervt wut,wut,abscheu wut,genervt
8,wut trauer resignation rache,befriedigung,verständnis,verständnis frust,zufriedenheit,neugier,neugier interesse,abscheu,abscheu,abscheu frust,frust,wut frust,wut frust,belustigt
9,angst wut empörung fassungslosigkeit unglaube,stolz ärger wut gemeinschaftsgefühl,unglaube ärger mitgefühl,stolz zustimmung freude,ärger wut nervosität verzweiflung zustimmung,gleichgültigkeit,zufriedenheit gleichgültigkeit  ,empörung  ekel  ärger wut angst verzweiflung mitgefühl,unentschlossenheit unglaube nervosität ambiguität ,verärgerung wut ekel angst verzweiflung,abstossend ärger wut unglaube  ,unentschlossenheit,ärger ambiguität wut fassungslosigkeit nervosität ,ambiguität unentschlossenheit ärger nervosität
10,keine,keine,verwirrend,keine,keine,übereinstimmung,zustimmung,empörung genervt,unverständlich,keine,keine,keine,keine,keine
11,betroffenheitheit zuspruch wut,keine,verwirrend trauer skepsis,eingeschüchtert verstreut aggressiv,positiv zustimmung  ,verwirrend angegriffen verletzt,energetisch motiviert wach positiv angeregt,verachtung provoziert wut aggressiv ,beschämt genervt,wut verachtung,belustigt,belustigt trauer,wut genervt pessimistisch,kritisch ambivalent belogen
12,sorge wut,irritiert,ungerechtigkeit,keine,zustimmung ärger,keine,keine,empörung ärger,ärger ablehnung,ärger empörung,unsicherheit reflektion,keine,ärger ablehnung,positiv
13,zweifel,genervt zweifel,wut empörung zustimmung,genervt,zustimmung empörung,empörung,belustigt,genervt,unverständnis belustigt,unsicher besorgt,zustimmung,wut,wut,neutral
14,wut empörung trauer zustimmung schockiert,keine,zufriedenheit,zufriedenheit angst furcht,zufriedenheit trauer,verwirrung zufriedenheit,keine,wut nachdenklich,verwunderung überraschung,wut ärger bestürzung empörung,ärger,empörung wut,trauer empörung,verwirrung misstrauen
